"","camp_name","perc_no_cop_strat","perc_stress","perc_crisis","perc_emergency","n"
"1","aaf",0.757575757575758,0.215686274509804,0.0416666666666667,0.2,66
"2","al.ahel",0.577777777777778,0.111111111111111,0.378378378378378,0.027027027027027,45
"3","al.kawthar",0.348837209302326,0.302325581395349,0.186046511627907,0.166666666666667,43
"4","alwand.1",0.4375,0.423728813559322,0.156862745098039,0.0666666666666667,64
"5","alwand.2",0.377358490566038,0.372549019607843,0.204545454545455,0.116279069767442,53
"6","arbat.idp",0.566666666666667,0.348837209302326,0.0526315789473684,0.384615384615385,60
"7","as.salamyiah",0.826086956521739,0.263157894736842,0,0.125,69
"8","ashti.idp",0.529411764705882,0.319148936170213,0.0714285714285714,0.46875,68
"9","baharka",0.863636363636364,0.204545454545455,0,0,66
"10","bajed.kandala",0.5,0.412698412698413,0.0512820512820513,0.179487179487179,70
"11","bersive.1",0.529411764705882,0.39344262295082,0.0526315789473684,0.162162162162162,68
"12","bersive.2",0.544117647058823,0.46551724137931,0.0681818181818182,0.024390243902439,68
"13","chamishku",0.547945205479452,0.461538461538462,0.0731707317073171,0,73
"14","darkar",0.461538461538462,0.428571428571429,0.0512820512820513,0.162162162162162,65
"15","dawoudia",0.4375,0.476190476190476,0.0416666666666667,0.0833333333333333,64
"16","debaga.1",0.838235294117647,0.212765957446809,0,0.0714285714285714,68
"17","essian",0.608695652173913,0.370967741935484,0.0333333333333333,0.1,69
"18","haa.2",0.811594202898551,0.2,0.0526315789473684,0.105263157894737,69
"19","harshm",0.551724137931034,0.344827586206897,0.09375,0.09375,58
"20","hasansham.u2",0.791044776119403,0.150943396226415,0.0625,0.263157894736842,67
"21","hasansham.u3",0.803030303030303,0.188679245283019,0.0666666666666667,0.125,66
"22","htc",0.39344262295082,0.0784313725490196,0.363636363636364,0.377777777777778,61
"23","kabarto.1",0.480519480519481,0.390625,0.133333333333333,0.209302325581395,77
"24","kabarto.2",0.5,0.396551724137931,0.0487804878048781,0.219512195121951,68
"25","karamah",0.76,0.185185185185185,0.388888888888889,0,50
"26","khanke",0.5,0.367647058823529,0.05,0.2,70
"27","khazer.m1",0.746268656716418,0.274509803921569,0,0.157894736842105,67
"28","laylan.idp",0.712121212121212,0.140625,0,0.3125,66
"29","mamilian",0.735849056603774,0.207547169811321,0,0.166666666666667,53
"30","mamrashan",0.397058823529412,0.515151515151515,0.0487804878048781,0.121951219512195,68
"31","muskar.saad",0.333333333333333,0.547619047619048,0.102564102564103,0.075,45
"32","qayyarah.jadah.five",0.536231884057971,0.0555555555555556,0.41304347826087,0.208333333333333,69
"33","qayyarah.jadah.one",0.675,0.107692307692308,0,0.59375,80
"34","qoratu",0.46875,0.446428571428571,0.0571428571428571,0.194444444444444,64
"35","rwanga.community",0.694444444444444,0.316666666666667,0,0.0857142857142857,72
"36","shariya",0.579710144927536,0.418181818181818,0.0465116279069767,0.111111111111111,69
"37","sheikhan",0.515151515151515,0.431034482758621,0.0263157894736842,0.153846153846154,66
"38","tazade",0.53968253968254,0.340909090909091,0.0869565217391304,0.413793103448276,63
"39","yahyawa",0.236363636363636,0.648148148148148,0.0408163265306122,0.108695652173913,55
"40","zayona",0.555555555555556,0.189189189189189,0.354838709677419,0.0606060606060606,45
